"charName","Ship","damage","Class","Cargo","WeaponUpgr","ECM","Drugs","ExCargo","Commod","Drones","Analyzers","Warp Speed","Speed","Maneuverability","Size","WeaponSize","DroneBay","Defence","LockSpeed","CPU","Power","Power bank","CapRecharge","RegionName","borderSys","fringesys","CorridorSys","hubSys","internationalSys","regionalSys","constellationSys","SecurityStatus","Remote Reps","Remote Assistance","Armament","Mining","Scanning","SpeedMods","Ewar","CapPower","Cloack","Salvager","Warp Scrambler","Stasis Web","Cynosural Field","CovOpsCloack","Covert Cyno","MWD","AB","DUST","Clothes","Deployb","SleepSalv","Structure","Implant","Blueprint","Energy Destabilizer","Capacitor Booster","Ice Product","Interdiction Probe","Shield Extender","Shield Booster","Sresist","Repper","CargoVolume","Aresist","NofGates","N Attackers","Mic Security","Average Security","KilledBy","KilledByType","Frigates","Cruisers","Battleships","Industrials","Titans","Roockie Ships","Assault Ship","Heavy AS","Deep Space Transports","BattleCruisers","Destroyers","MiningBarges","Dreadnoughts","Interdictors","CommandShips","Exhumers","Interceptor","Logistics","Force Recon","Bomber","E - War","Heavy Interdictor","Black Ops","Marauder","Combat Recon Ship","Attack Battlecruiser","Blockade Runner","CovOps","Sit"
"Seseslad                                          ","Incursus",4427,"Frigate",165.0,0,0,0,0,0,1,0,5.0,340.0,30.881353838552283,42.0,1.0,5.0,593.75,600.0,135.0,45.0,370.0,2.0,"Metropolis",0,0,0,1,0,0,0,0.2127962933816663,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,232.43,1,5,2,2.536826,2.918413,"Nova Fury Light Missile","Advanced Light Missile",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PvP Generic"
"Porta Potty                                       ","Ibis",518,"Rookie ship",125.0,0,0,0,0,0,0,0,3.0,295.0,19.107671730199677,52.0,,5.0,229.375,475.0,110.0,22.0,130.0,2.0,"Genesis",0,1,0,0,0,0,0,0.4443907201111533,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,0,2,1,-9.124045,-9.124045,"Caldari Navy Scourge Cruise Missile","Cruise Missile",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cyno"
"Archer Slowpoke                                   ","Ibis",530,"Rookie ship",125.0,0,0,0,0,0,0,0,3.0,295.0,19.107671730199677,52.0,,5.0,229.375,475.0,110.0,22.0,130.0,2.0,"Metropolis",1,0,0,1,0,0,1,0.3620236672680453,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,54.81,0,5,1,0.04376818,0.04376818,"Ogre II","Combat Drone",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cyno"
"MeTradingAlt                                      ","Heron",805,"Frigate",400.0,0,0,0,0,0,0,0,5.0,340.0,24.357569114602363,40.0,1.0,35.0,425.0,430.0,260.0,24.0,245.0,1.8148148148148149,"Curse",0,0,1,0,0,0,0,-0.01431927738433703,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,650,0,0,0,0,0,310.0,0,3,2,-0.2,0.25795965,"Light Neutron Blaster II","Hybrid Weapon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"Cyno"
"Kpekep                                            ","Omen",8169,"Cruiser",400.0,2,0,0,0,0,4,0,3.0,235.0,17.744654422855113,115.0,2.0,40.0,2017.5,300.0,315.0,925.0,1475.0,2.8041825095057034,"Catch",0,0,1,0,0,0,0,-0.0470117270861683,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192.0,1,2,18,-4.5,4.038888888888888,"Bouncer II","Combat Drone",0,2,0,0,0,0,0,11,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,"Hauling"
"La Pimpanella                                     ","Helios",1805,"Covert Ops",175.0,0,0,0,0,0,0,0,8.0,330.0,18.99522118225497,49.0,1.0,5.0,539.8999999999999,390.0,290.0,20.0,218.75,1.1666666666666667,"Fountain",0,0,0,1,0,0,0,-0.3787228668051891,0,0,0,0,3,3,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.8,0,4,2,5.0,5.0018015,"Warrior II","Combat Drone",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Scanning"
"Drax Anele                                        ","Cerberus",20068,"Heavy Assault Cruiser",650.0,2,1,0,1,20,7,0,3.3,220.0,16.979773693576213,135.0,2.0,15.0,1573.75,282.0,520.0,800.0,1200.0,5.106382978723404,"Essence",1,0,0,1,0,1,1,0.4139828134537368,2,1,8,1,0,0,3,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,452.355,0,3,2,-9.978977,-9.4394885,"220mm Vulcan AutoCannon II","Projectile Weapon",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PvE"
"Roman Romashkevich                                ","Cormorant",2547,"Destroyer",425.0,0,0,0,0,1,0,0,4.5,250.0,21.159542953872197,65.0,1.0,0.0,1125.0,475.0,200.0,68.0,600.0,1.875,"Pure Blind",1,0,0,1,0,1,1,-0.4465753930977101,0,0,8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,62.865,0,3,4,3.8,4.7012765,"200mm Railgun II","Hybrid Weapon",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,"PvP Generic"
"Muff1n                                            ","Cormorant",2782,"Destroyer",425.0,0,0,0,1,11,1,0,4.5,250.0,21.159542953872197,65.0,1.0,0.0,1125.0,475.0,200.0,68.0,600.0,1.875,"Essence",0,0,1,0,0,0,0,0.3356865888245387,0,0,9,1,0,1,2,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,128.8725,0,3,2,-10.0,-9.974318,"425mm AutoCannon II","Projectile Weapon",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PvP Generic"
"Endivchen                                         ","Drake",21865,"Combat Battlecruiser",450.0,1,0,0,0,99,0,0,2.5,140.0,10.550303848750843,295.0,2.0,25.0,6000.0,195.0,500.0,800.0,2500.0,3.7999696002431977,"The Forge",1,0,0,1,0,0,1,0.3808086781055762,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,452.0300000000001,0,4,5,-9.9,-3.46,"Hammerhead II","Combat Drone",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,"PvE"
