KillID,SolarSystemID,Time,VName,VShip,VDamage
36836889,30000250,16/02/2014 19:40:00,TBOR MATb,Scythe Fleet Issue,13259
36836163,30000222,16/02/2014 19:19:00,Kristina Laduko,Augoror,4951
36836155,30000222,16/02/2014 19:18:00,McZerg,Tengu,47355
36836130,30000222,16/02/2014 19:17:00,Elanore Wansmore,Raven,48940
36835549,30000250,16/02/2014 19:03:00,Timon SKR,Astero,1687
36835559,30000250,16/02/2014 19:03:00,Timon SKR,Capsule,432
36835266,30000252,16/02/2014 18:54:00,Hydrock Koons,Capsule,394
36835239,30000252,16/02/2014 18:53:00,Hydrock Koons,Imicus,931
36834958,30000214,16/02/2014 18:44:00,Dimple Knotwise,Sabre,3843
36834943,30000284,16/02/2014 18:44:00,Hiro Protagoonist,Capsule,384
36834836,30000284,16/02/2014 18:41:00,Hiro Protagoonist,Ibis,530
36833625,30000250,16/02/2014 18:03:00,Sarah xCalibre,Capsule,496
36833622,30000250,16/02/2014 18:03:00,Sarah xCalibre,Omen Navy Issue,9485
36833598,30000250,16/02/2014 18:02:00,Louie Schneider,Daredevil,3116
36833344,30000250,16/02/2014 17:54:00,Nidis Oriki,Capsule,416
36833334,30000250,16/02/2014 17:53:00,Nidis Oriki,Heron,1222
36832002,30000317,16/02/2014 17:11:00,Steve Blackman,Capsule,458
36831714,30000304,16/02/2014 17:03:00,Kazumi Yoko,Manticore,3151
36831464,30000250,16/02/2014 16:54:00,s0faRy,Buzzard,1673
36831469,30000250,16/02/2014 16:54:00,s0faRy,Capsule,438
36831433,30000250,16/02/2014 16:53:00,killjill12378,Capsule,461
36831405,30000250,16/02/2014 16:52:00,killjill12378,Prophecy,25855
36830901,30000250,16/02/2014 16:37:00,Bihewiorist,Capsule,418
36830854,30000250,16/02/2014 16:35:00,Bihewiorist,Magnate,956
36830843,30000250,16/02/2014 16:35:00,Razvan S,Heron,835
36830865,30000250,16/02/2014 16:35:00,Razvan S,Capsule,410
36830743,30000252,16/02/2014 16:31:00,victor palyuha,Capsule,410
36830710,30000252,16/02/2014 16:29:00,victor palyuha,Heron,809
36830310,30000250,16/02/2014 16:16:00,Captain Homeless,Dramiel,3256
36830049,30000229,16/02/2014 16:07:00,Omernas Dangers,Mobile Depot,11418
36827593,30000250,16/02/2014 14:56:00,Arenoros Cesaille,Capsule,417
36827575,30000250,16/02/2014 14:55:00,Arenoros Cesaille,Imicus,929
36827181,30000250,16/02/2014 14:41:00,Suey Syde,Capsule,425
36827150,30000250,16/02/2014 14:40:00,Suey Syde,Reaper,536
36826760,30000250,16/02/2014 14:27:00,Alex Anchugov,Capsule,457
36826730,30000250,16/02/2014 14:26:00,Alex Anchugov,Probe,974
36826443,30000263,16/02/2014 14:14:00,Nors Phlebas Sabelhpsron,Caracal,7975
36825692,30000250,16/02/2014 13:44:00,Shizuka Shihari,Capsule,427
36825685,30000250,16/02/2014 13:43:00,Shizuka Shihari,Ibis,585
36824410,30000210,16/02/2014 12:44:00,True Overlord,Capsule,442
36824355,30000270,16/02/2014 12:42:00,SlimX Victor,Typhoon,37513
36824199,30000297,16/02/2014 12:35:00,True Overlord,Heron,951
36824116,30000250,16/02/2014 12:31:00,Joe Morin,Magnate,952
36824120,30000250,16/02/2014 12:31:00,Joe Morin,Capsule,413
36823754,30000250,16/02/2014 12:12:00,Kosmos Son,Heron,1832
36823758,30000250,16/02/2014 12:12:00,Kosmos Son,Capsule,413
36823607,30000250,16/02/2014 12:03:00,HatredOfGlory,Leopard,498
36823610,30000250,16/02/2014 12:03:00,HatredOfGlory,Capsule,445
36823156,30000250,16/02/2014 11:27:00,TamerlaN N,Heron,930
36823073,30000250,16/02/2014 10:58:00,TAPAnyHbKA,Capsule,454
36823054,30000250,16/02/2014 10:57:00,TAPAnyHbKA,Raven,53525
36822230,30000252,16/02/2014 10:07:00,Harrison Maricadien,Velator,573
36821285,30000263,16/02/2014 09:18:00,Fifth Dimension,Sleipnir,17509
36821161,30000267,16/02/2014 09:11:00,Valince Olacar,Capsule,454
36821143,30000267,16/02/2014 09:10:00,Valince Olacar,Flycatcher,4568
36820884,30000250,16/02/2014 08:55:00,pifpaf xasimoto,Capsule,384
36820847,30000250,16/02/2014 08:54:00,pifpaf xasimoto,Heron,833
36818745,30000250,16/02/2014 06:45:00,Buff Oksaras,Scythe Fleet Issue,11905
36818595,30000246,16/02/2014 06:35:00,Black Abdula,Small Mobile Siphon Unit,69126
36818557,30000246,16/02/2014 06:32:00,Black Abdula,Small Mobile Siphon Unit,75672
36818359,30000246,16/02/2014 06:19:00,Black Abdula,Small Mobile Siphon Unit,74740
36818317,30000246,16/02/2014 06:18:00,Black Abdula,Small Mobile Siphon Unit,80148
36818289,30000246,16/02/2014 06:16:00,Black Abdula,Small Mobile Siphon Unit,78365
36818068,30000252,16/02/2014 06:00:00,Mr Mookie,Capsule,448
36818061,30000252,16/02/2014 05:59:00,Mr Mookie,Rifter,3065
36818012,30000246,16/02/2014 05:57:00,Black Abdula,Small Mobile Siphon Unit,76199
36817901,30000246,16/02/2014 05:49:00,Black Abdula,Small Mobile Siphon Unit,79536
36817823,30000246,16/02/2014 05:46:00,Black Abdula,Small Mobile Siphon Unit,76374
36817729,30000246,16/02/2014 05:42:00,Black Abdula,Small Mobile Siphon Unit,76699
36816676,30000288,16/02/2014 04:44:00,Sorana Bonzari,Talos,15046
36816106,30000277,16/02/2014 04:18:00,Krathax,Mobile Tractor Unit,36471
36815561,30000284,16/02/2014 03:52:00,Gauge Rise,Drake,22299
36814818,30000252,16/02/2014 03:16:00,Rand Aishai,Heron,805
36811629,30000322,16/02/2014 00:55:00,Anomena,Vexor,16849
36811196,30000284,16/02/2014 00:37:00,WaveDragon,Cerberus,10371
36811201,30000284,16/02/2014 00:37:00,WaveDragon,Capsule,489
36811150,30000284,16/02/2014 00:36:00,Terinity Fellows,Capsule,495
36811173,30000284,16/02/2014 00:36:00,Admiral Doomchug,Slasher,1370
36811139,30000284,16/02/2014 00:35:00,Terinity Fellows,Dominix,30223
36810993,30000224,16/02/2014 00:30:00,Bambi Firekite,Capsule,432
36810845,30000284,16/02/2014 00:25:00,Satyricon Nem Divinia,Ibis,625
36810851,30000284,16/02/2014 00:25:00,Satyricon Nem Divinia,Capsule,461
36810677,30000224,16/02/2014 00:18:00,Lukas Ronuken,Slasher,2276
36810662,30000224,16/02/2014 00:17:00,Bambi Firekite,Griffin,969
36810669,30000224,16/02/2014 00:17:00,Alec Athonille,Thrasher,4279
36810647,30000225,16/02/2014 00:16:00,Bral Virpio,Capsule,460
36810631,30000225,16/02/2014 00:16:00,Bral Virpio,Talwar,4178
36810646,30000250,16/02/2014 00:16:00,Ruskaliostro,Capsule,393
36810649,30000263,16/02/2014 00:16:00,IIFraII,Capsule,462
36810614,30000250,16/02/2014 00:15:00,Ruskaliostro,Gallente Shuttle,486
36810611,30000263,16/02/2014 00:15:00,IIFraII,Stabber Fleet Issue,16068
36810595,30000263,16/02/2014 00:14:00,Ogast,Sabre,6744
36810579,30000263,16/02/2014 00:13:00,Ereshgikal,Sabre,4889
36810541,30000250,16/02/2014 00:12:00,Morphid Bathana,Thrasher,2875
36810077,30000263,15/02/2014 23:58:00,Omernas Dangers,Tengu,22354
36810025,30000214,15/02/2014 23:57:00,Mosk Everhard,Capsule,458
36809865,30000250,15/02/2014 23:51:00,me0de,Daredevil,2952
36809831,30000214,15/02/2014 23:50:00,Sear Sentalen,Capsule,447
36809777,30000214,15/02/2014 23:48:00,Sear Sentalen,Slasher,2333
36809781,30000214,15/02/2014 23:48:00,Mosk Everhard,Taranis,1666
36809722,30000268,15/02/2014 23:47:00,Bok Solette,Capsule,446
36809684,30000268,15/02/2014 23:46:00,Bok Solette,Heretic,3481
36808628,30000283,15/02/2014 23:19:00,nutydred,Blackbird,5461
36808520,30000250,15/02/2014 23:16:00,Vlad 5688,Navitas,1122
36808527,30000250,15/02/2014 23:16:00,Vlad 5688,Capsule,421
36808190,30000284,15/02/2014 23:07:00,Silvetica Dian,Thrasher,5334
36808196,30000284,15/02/2014 23:07:00,Melkisedec,Thrasher,5127
36807630,30000252,15/02/2014 22:52:00,Khan Patil,Capsule,384
36807517,30000250,15/02/2014 22:49:00,Khan Patil,Velator,575
36806601,30000250,15/02/2014 22:20:00,Axel Sheppard,Taranis,1577
36806566,30000250,15/02/2014 22:19:00,Starblitz,Heretic,2343
36806571,30000250,15/02/2014 22:19:00,Starblitz,Capsule,461
36806485,30000284,15/02/2014 22:17:00,OmniDominics,Myrmidon,19971
36806306,30000250,15/02/2014 22:12:00,Hordetrader,Capsule,431
36806299,30000250,15/02/2014 22:11:00,Hordetrader,Condor,1646
