SolarSystemID,Time,Victim,VShip,Damage Taken
30000252,16/02/2014 03:16,Rand Aishai,Heron,805
30000322,16/02/2014 00:55,Anomena,Vexor,16849
30000284,16/02/2014 00:37,WaveDragon,Cerberus,10371
30000284,16/02/2014 00:37,WaveDragon,Capsule,489
30000284,16/02/2014 00:36,Terinity Fellows,Capsule,495
30000284,16/02/2014 00:36,Admiral Doomchug,Slasher,1370
30000284,16/02/2014 00:35,Terinity Fellows,Dominix,30223
30000224,16/02/2014 00:30,Bambi Firekite,Capsule,432
30000284,16/02/2014 00:25,Satyricon NemDivinia,Ibis,625
30000284,16/02/2014 00:25,Satyricon NemDivinia,Capsule,461
30000224,16/02/2014 00:18,Lukas Ronuken,Slasher,2276
30000224,16/02/2014 00:17,Bambi Firekite,Griffin,969
30000224,16/02/2014 00:17,Alec Athonille,Thrasher,4279
30000225,16/02/2014 00:16,Bral Virpio,Capsule,460
30000225,16/02/2014 00:16,Bral Virpio,Talwar,4178
30000250,16/02/2014 00:16,Ruskaliostro,Capsule,393
30000263,16/02/2014 00:16,IIFraII,Capsule,462
30000250,16/02/2014 00:15,Ruskaliostro,Gallente Shuttle,486
30000263,16/02/2014 00:15,IIFraII,Stabber Fleet Issue,16068
30000263,16/02/2014 00:14,Ogast,Sabre,6744
30000263,16/02/2014 00:13,Ereshgikal,Sabre,4889
30000250,16/02/2014 00:12,Morphid Bathana,Thrasher,2875
30000263,15/02/2014 23:58,Omernas Dangers,Tengu,22354
30000214,15/02/2014 23:57,Mosk Everhard,Capsule,458
30000250,15/02/2014 23:51,me0de,Daredevil,2952
30000214,15/02/2014 23:50,Sear Sentalen,Capsule,447
30000214,15/02/2014 23:48,Sear Sentalen,Slasher,2333
30000214,15/02/2014 23:48,Mosk Everhard,Taranis,1666
30000268,15/02/2014 23:47,Bok Solette,Capsule,446
30000268,15/02/2014 23:46,Bok Solette,Heretic,3481
30000283,15/02/2014 23:19,nutydred,Blackbird,5461
30000250,15/02/2014 23:16,Vlad 5688,Navitas,1122
30000250,15/02/2014 23:16,Vlad 5688,Capsule,421
30000284,15/02/2014 23:07,Silvetica Dian,Thrasher,5334
30000284,15/02/2014 23:07,Melkisedec,Thrasher,5127
30000252,15/02/2014 22:52,Khan Patil,Capsule,384
30000250,15/02/2014 22:49,Khan Patil,Velator,575
30000250,15/02/2014 22:20,Axel Sheppard,Taranis,1577
30000250,15/02/2014 22:19,Starblitz,Heretic,2343
30000250,15/02/2014 22:19,Starblitz,Capsule,461
30000284,15/02/2014 22:17,OmniDominics,Myrmidon,19971
30000250,15/02/2014 22:12,Hordetrader,Capsule,431
30000250,15/02/2014 22:11,Hordetrader,Condor,1646
30000250,15/02/2014 22:00,La Fanette,Capsule,457
30000250,15/02/2014 21:59,La Fanette,Helios,1814
30000250,15/02/2014 21:40,Jessica Moore,Scythe Fleet Issue,30941
30000250,15/02/2014 21:40,Jessica Moore,Capsule,498
30000250,15/02/2014 21:32,Wustenfuchs Rommel,Capsule,455
30000250,15/02/2014 21:31,Wustenfuchs Rommel,Magnate,1040
30000250,15/02/2014 21:19,Prokl Askold,Capsule,384
30000250,15/02/2014 21:18,Prokl Askold,Probe,847
30000210,15/02/2014 21:10,Rex Ruthless,Mobile Tractor Unit,37191
30000210,15/02/2014 21:09,Arthuriya Dentis,Tengu,10329
30000210,15/02/2014 21:09,Arthuriya Dentis,Capsule,435
30000284,15/02/2014 20:53,Taciklepok pokpok,Catalyst,2070
30000284,15/02/2014 20:53,Taciklepok pokpok,Capsule,405
30000284,15/02/2014 20:37,Gingger,Taranis,1727
30000284,15/02/2014 20:37,Sochin,Crow,2470
30000284,15/02/2014 20:37,Sochin,Capsule,457
30000284,15/02/2014 20:23,Nortmas en Margon,Capsule,458
30000224,15/02/2014 20:21,Veloriin,Capsule,443
30000224,15/02/2014 20:20,Veloriin,Probe,997
30000222,15/02/2014 20:15,Joule Serine,Dominix,31550
30000222,15/02/2014 20:15,Kristina Laduko,Capsule,436
30000222,15/02/2014 20:15,Joule Serine,Capsule,447
30000222,15/02/2014 20:14,Kristina Laduko,Covetor,5879
30000250,15/02/2014 20:03,Main Boss Nolen,Ibis,521
30000299,15/02/2014 20:00,Suzy RC Mudstone,Capsule,465
30000250,15/02/2014 20:00,Driac,Capsule,462
30000299,15/02/2014 19:59,SuperJrOBC,Talos,7228
30000299,15/02/2014 19:59,Suzy RC Mudstone,Vexor,6450
30000250,15/02/2014 19:59,Driac,Helios,2043
30000250,15/02/2014 19:17,Manu Propria,Daredevil,3499
30000250,15/02/2014 19:16,Jugger Belvar,Taranis,2056
30000284,15/02/2014 19:12,Void Touch,Capsule,440
30000284,15/02/2014 19:10,Void Touch,Thrasher,4396
30000250,15/02/2014 18:00,Prokl Askold,Capsule,384
30000250,15/02/2014 17:59,Prokl Askold,Probe,847
30000250,15/02/2014 17:50,Sausedges,Deimos,20229
30000277,15/02/2014 17:34,Asuka Brinalle,Capsule,418
30000277,15/02/2014 17:34,Pavlik Rogonocec,Crow,1704
30000250,15/02/2014 17:29,ja-max 0911,Ares,2668
30000250,15/02/2014 17:29,Ghost Hunter Killer,Merlin,2334
30000214,15/02/2014 17:06,Sho Menao,Capsule,460
30000250,15/02/2014 17:04,Divone,Capsule,424
30000214,15/02/2014 17:04,Sho Menao,Vagabond,7205
30000250,15/02/2014 17:03,Divone,Condor,1912
30000270,15/02/2014 16:48,Vitank,Raptor,1634
30000250,15/02/2014 16:15,Waterpilloh,Capsule,413
30000250,15/02/2014 16:14,Waterpilloh,Heron,890
30000261,15/02/2014 15:49,Looney Ed,Capsule,487
30000250,15/02/2014 15:19,Bald Bes,Capsule,439
30000250,15/02/2014 15:18,Bald Bes,Heron,833
30000250,15/02/2014 15:17,ginn Riraille,Capsule,384
30000250,15/02/2014 15:16,ginn Riraille,Velator,572
30000250,15/02/2014 14:44,ferrrrka,Capsule,432
30000250,15/02/2014 14:44,ferrrrka,Astero,1844
30000250,15/02/2014 14:34,Bobby Steele,Capsule,424
30000250,15/02/2014 14:32,macout,Capsule,461
30000250,15/02/2014 14:31,macout,Stabber,10830
30000250,15/02/2014 14:31,Guillejejeje XDD,Hawk,5824
30000250,15/02/2014 14:25,Jessica Moore,Vexor Navy Issue,28420
30000250,15/02/2014 14:23,zaccy Woods,Stiletto,2465
30000250,15/02/2014 14:22,Maniacus,Sabre,7012
30000250,15/02/2014 14:11,macout,Capsule,460
30000250,15/02/2014 14:10,macout,Rokh,62349
30000316,15/02/2014 13:44,Zalver,Flycatcher,3088
30000250,15/02/2014 13:29,Johnatan Meyers,Capsule,408
30000250,15/02/2014 13:28,Johnatan Meyers,Heron,903
30000250,15/02/2014 13:07,Arenoros Cesaille,Capsule,402
30000250,15/02/2014 13:06,Arenoros Cesaille,Imicus,902
30000315,15/02/2014 12:57,Fun Rust,Helios,1414
30000315,15/02/2014 12:57,Fun Rust,Capsule,428
30000250,15/02/2014 12:45,Razvan S,Capsule,410
30000250,15/02/2014 12:44,Razvan S,Heron,625
30000229,15/02/2014 12:30,Oliver Trier,Venture,763
30000250,15/02/2014 12:23,SirHozu,Capsule,416
30000250,15/02/2014 12:22,SirHozu,Heron,915
30000250,15/02/2014 11:00,Eluwien,Drake,24171
30000277,15/02/2014 10:45,molto scarso,Taranis,1824
30000284,15/02/2014 10:22,Mellori Corvid,Capsule,458
30000263,15/02/2014 09:56,Andy Brasco,Heron,751
30000238,15/02/2014 09:52,Talos Bonage,Capsule,399
30000316,15/02/2014 08:47,TitivToluk,Condor,1030
30000316,15/02/2014 08:13,Gas Burf,Helios,1509
30000316,15/02/2014 08:13,Gas Burf,Capsule,451
30000248,15/02/2014 07:23,darkwars0,Capsule,454
30000248,15/02/2014 07:23,darkwars0,Vexor,11345
30000248,15/02/2014 07:22,Dringy Tsero,Brutix,30461
30000226,15/02/2014 06:23,Andrew Cunnin,Velator,639
30000225,15/02/2014 06:16,Illyana Patriscu,Kestrel,1423
30000317,15/02/2014 05:29,Tobias Atreides,Caldari Encounter Surveillance System,226628
30000250,15/02/2014 05:25,Eten Hunt,Capsule,399
30000250,15/02/2014 05:18,mscrisp,Capsule,439
30000250,15/02/2014 05:17,mscrisp,Purifier,2228
30000264,15/02/2014 05:13,Eten Hunt,Astero,1683
30000224,15/02/2014 04:50,Max Celes,Velator,551
30000210,15/02/2014 04:16,Anjue Ely,Capsule,424
30000210,15/02/2014 04:15,Anjue Ely,Drake,18600
30000299,15/02/2014 03:57,Romulus Janus,Thorax,14587
30000284,15/02/2014 03:26,Vulom Ronuken,Capsule,384
30000284,15/02/2014 03:24,Vulom Ronuken,Reaper,490
30000252,15/02/2014 03:10,Cyclop fon Janau,Capsule,384
30000252,15/02/2014 03:09,Cyclop fon Janau,Gallente Shuttle,447
30000250,15/02/2014 03:06,Quaerere Fati,Capsule,413
30000250,15/02/2014 03:05,Quaerere Fati,Astero,1844
30000252,15/02/2014 01:31,dasidar,Loki,12276
30000252,14/02/2014 23:32,bromigo,Capsule,461
30000252,14/02/2014 23:30,bromigo,Rifter,2337
30000304,14/02/2014 23:12,Tubrug1,Gallente Encounter Surveillance System,251155
30000250,14/02/2014 22:58,Alyx Fabregas,Capsule,439
30000250,14/02/2014 22:57,Alyx Fabregas,Imicus,990
30000250,14/02/2014 22:54,Troilem,Cyclone,36297
30000252,14/02/2014 22:29,Lazare Nolen,Capsule,413
30000252,14/02/2014 22:28,Lazare Nolen,Heron,581
30000263,14/02/2014 22:16,Regen Fall,Retriever,8873
30000250,14/02/2014 22:14,victor palyuha,Capsule,410
30000250,14/02/2014 22:13,victor palyuha,Imicus,839
30000250,14/02/2014 21:44,Cyclop fon Janau,Capsule,384
30000250,14/02/2014 21:43,Cyclop fon Janau,Amarr Shuttle,451
30000284,14/02/2014 21:35,Rarity Exotica,Executioner,1368
30000250,14/02/2014 20:58,Von Tibbo,Flycatcher,3890
30000284,14/02/2014 20:52,Troilem,Capsule,465
30000284,14/02/2014 20:50,Troilem,Stratios,20427
30000284,14/02/2014 20:48,Sai57,Raven,85941
30000214,14/02/2014 20:47,Lelo0071,Capsule,460
30000214,14/02/2014 20:45,Lelo0071,Talos,16536
30000252,14/02/2014 20:10,HugeQ,Capsule,450
30000252,14/02/2014 20:08,HugeQ,Thrasher,4975
30000250,14/02/2014 19:58,Jugger Belvar,Capsule,457
30000250,14/02/2014 19:58,Jugger Belvar,Incursus,3470
30000250,14/02/2014 19:57,Bondac,Crow,2968
30000250,14/02/2014 19:50,CYTEHEP 4ELOBE4ECTBA,Capsule,435
30000250,14/02/2014 19:49,CYTEHEP 4ELOBE4ECTBA,Buzzard,1278
30000250,14/02/2014 19:14,Kyki Meza,Capsule,398
30000250,14/02/2014 19:13,Kyki Meza,Sarum Magnate,904
30000250,14/02/2014 18:36,Jackal Saisima,Capsule,413
30000250,14/02/2014 18:35,Jackal Saisima,Ibis,561
30000250,14/02/2014 17:40,Jackal Saisima,Heron,913
30000250,14/02/2014 17:33,Naranec,Capsule,458
30000250,14/02/2014 17:32,Naranec,Slasher,1442
30000252,14/02/2014 17:05,Qvan,Thrasher,2928
30000252,14/02/2014 17:04,Caeltrayian,Imperial Navy Slicer,2126
30000250,14/02/2014 17:02,Nikola Rolando,Capsule,461
30000250,14/02/2014 17:00,Nikola Rolando,Sabre,5909
30000250,14/02/2014 16:59,Maniacus,Stiletto,2927
