 58300214, Tritanium 
 15207586, Pyerite 
  2682290, Antimatter Charge S 
  1781734, Caldari Navy Antimatter Charge S 
  1608875, EMP S 
  1381582, Republic Fleet EMP S 
  1121630, Nova Light Missile 
   971549, Void S 
   847242, Null S 
   846596, Antimatter Charge M 
   815215, Caldari Navy Nova Light Missile 
   771925, Caldari Navy Antimatter Charge M 
   706691, Barrage S 
   640805, Republic Fleet Phased Plasma S 
   514948, Mexallon 
   466697, Republic Fleet Fusion S 
   464562, Caldari Navy Scourge Light Missile 
   385860, Hail S 
   352865, Scourge Light Missile 
   329304, Caldari Navy Scourge Rocket 
   326789, Scourge Rage Rocket 
   322297, Republic Fleet EMP M 
   310398, Caldari Navy Scourge Torpedo 
   303687, Spike S 
   276851, Barrage M 
   269497, Scourge Rocket 
   229833, Republic Fleet Phased Plasma M 
   220843, Caldari Navy Mjolnir Light Missile 
   211534, Null M 
   192816, Oxygen Isotopes 
   191915, Federation Navy Antimatter Charge S 
   182844, Void M 
   157854, Republic Fleet Fusion M 
   152123, Caldari Navy Inferno Light Missile 
   151587, Javelin S 
   146582, EMP M 
   141998, Nanite Repair Paste 
   136971, Caldari Navy Iridium Charge M 
   135647, Iron Charge S 
   132239, Scourge Fury Light Missile 
   129683, Fusion S 
   126647, Caldari Navy Nova Torpedo 
   122436, Mjolnir Light Missile 
   120398, Dense Veldspar 
   118497, Hail M 
   118043, Scourge Heavy Missile 
   113016, Javelin M 
   111922, Phased Plasma S 
   110217, Spike M 
   109076, Inferno Light Missile 
   106344, Tremor S 
   104158, Iron Charge M 
   103337, Lead Charge L 
   102746, Liquid Ozone 
   101910, Quake S 
    99988, Nova Rage Rocket 
    99381, Caldari Navy Scourge Heavy Missile 
    97500, Caldari Navy Antimatter Charge L 
    91021, Caldari Navy Thorium Charge M 
    90011, Scourge Torpedo 
    87500, Lead Charge M 
    84923, Mjolnir Rage Rocket 
    81903, Depleted Uranium S 
    81420, Caldari Navy Inferno Torpedo 
    77089, Iridium Charge S 
    77068, Caldari Navy Mjolnir Rocket 
    76355, Republic Fleet EMP L 
    72256, Caldari Navy Mjolnir Torpedo 
    72102, Helium Isotopes 
    71785, Federation Navy Antimatter Charge M 
    70634, Caldari Navy Nova Rocket 
    70421, Titanium Sabot S 
    70375, Scourge Javelin Rocket 
    69273, Republic Fleet Phased Plasma L 
    65854, Scourge Fury Heavy Missile 
    63457, Thorium Charge M 
    63081, Nitrogen Isotopes 
    62879, Nova Fury Light Missile 
    60766, Republic Fleet Depleted Uranium M 
    57447, Nuclear S 
    57229, Nova Torpedo 
    56824, Caldari Navy Tungsten Charge S 
    55665, Iridium Charge M 
    55606, Inferno Rage Rocket 
    55372, Isogen 
    53701, Veldspar 
    53206, Caldari Navy Plutonium Charge M 
    50994, Lead Charge S 
    50955, Thorium Charge S 
    48708, Caldari Navy Lead Charge M 
    45962, Caldari Navy Inferno Rocket 
    42606, Scourge Javelin Torpedo 
    42312, Concentrated Veldspar 
    41168, Federation Navy Antimatter Charge L 
    41092, Antimatter Charge L 
    39459, Caldari Navy Iron Charge S 
    39328, Fusion M 
    38807, Caldari Navy Mjolnir Heavy Missile 
    38054, Phased Plasma M 
    37959, Mjolnir Rocket 
    37653, Republic Fleet Fusion L 
    36931, Scourge Precision Light Missile 
    36310, Inferno Torpedo 
    36148, Orbital Hybrid S 
    36145, Mjolnir Fury Light Missile 
    34180, Toxic Metals 
    33447, Republic Fleet Depleted Uranium S 
    33113, Tungsten Charge S 
    33062, Inferno Rocket 
    32887, Republic Fleet Nuclear S 
    32795, Reactive Metals 
    32558, Void L 
    30821, Caldari Navy Uranium Charge M 
    30737, Caldari Navy Thorium Charge S 
    30579, Caldari Navy Scourge Heavy Assault Missile 
    29467, Caldari Navy Iron Charge M 
    29061, Pyroxeres 
    28728, Scourge Precision Heavy Missile 
    28087, Nocxium 
    27470, Scourge Rage Heavy Assault Missile 
    27052, Condensed Scordite 
    25993, Oxygen 
    25706, Mjolnir Javelin Rocket 
    25662, Depleted Uranium M 
    24903, Republic Fleet Titanium Sabot M 
    24896, Caldari Navy Tungsten Charge M 
    24853, Nova Javelin Rocket 
    24700, Bacteria 
    24237, Plutonium Charge S 
    22415, Republic Fleet Nuclear M 
    20644, Nova Rocket 
    20000, Hydrogen Isotopes 
    19650, Phased Plasma L 
    17910, Barrage L 
    17680, Proteins 
    17605, Caldari Navy Nova Heavy Missile 
    17562, EMP L 
    17551, Scourge Cruise Missile 
    17534, Iron Charge L 
    16953, Mjolnir Cruise Missile 
    16856, Titanium Sabot L 
    16673, Caldari Navy Iridium Charge S 
    16530, Uranium Charge S 
    16375, Mjolnir Rage Heavy Assault Missile 
    16085, Republic Fleet Titanium Sabot S 
    15782, Titanium Sabot M 
    15661, Mjolnir Heavy Missile 
    15427, Mjolnir Torpedo 
    15180, Precious Metals 
    15098, Null L 
    15054, Inferno Cruise Missile 
    14451, Orbital EMP S 
    14345, Uranium Charge M 
    14257, Scourge Rage Torpedo 
    14117, Nova Precision Light Missile 
    14059, Inferno Javelin Rocket 
    14016, Hail L 
    13477, Zydrine 
    13424, Guristas Scourge Rocket 
    12851, Plagioclase 
    12492, Caldari Navy Uranium Charge L 
    11865, Plutonium Charge L 
    11859, Carbonized Lead S 
    11646, Scourge Auto-Targeting Light Missile I 
    11020, Nova Fury Heavy Missile 
    10507, Caldari Navy Thorium Charge L 
    10346, Federation Navy Uranium Charge S 
    10322, Proton S 
    10183, Scourge Javelin Heavy Assault Missile 
    10070, Water 
     9906, Inferno Fury Light Missile 
     9708, Republic Fleet Carbonized Lead M 
     9583, Arch Angel Phased Plasma M 
     9408, Navy Cap Booster 50 
     9334, Republic Fleet Proton M 
     9328, Quake M 
     9212, Caldari Navy Inferno Heavy Missile 
     9155, Nova Rage Torpedo 
     8765, Caldari Navy Lead Charge S 
     8393, Republic Fleet Proton S 
     8333, Tungsten Charge M 
     8144, Strontium Clathrates 
     8092, Caldari Navy Iridium Charge L 
     7552, Nova Javelin Heavy Assault Missile 
     6500, Caldari Navy Tungsten Charge L 
     6449, Mjolnir Fury Heavy Missile 
     6349, Republic Fleet Titanium Sabot L 
     6246, Azure Plagioclase 
     6229, Nova Heavy Missile 
     6164, Iridium Charge L 
     6089, Caldari Navy Plutonium Charge S 
     5844, Inferno Heavy Missile 
     5747, Tremor M 
     5632, Caldari Navy Scourge Cruise Missile 
     5597, Micro Auxiliary Power Core I 
     5526, Light Missile Launcher I 
     5500, Inferno Rage Heavy Assault Missile 
     5427, Caldari Navy Mjolnir Heavy Assault Missile 
     5199, Nova Rage Heavy Assault Missile 
     5174, Scordite 
     5118, Caldari Navy Mjolnir Cruise Missile 
     5102, Capsule 
     5100, Spike L 
     5092, Nuclear L 
     5043, Nova Heavy Assault Missile 
