SolarSystemID,Victim,Ship,Damage Taken
30000142,NastaKilla,Executioner,1520
30000156,Clone 163526,Slasher,1183
30000156,Joe Grayne,Cormorant,6807
30000156,Drowden Blacklyche,Caldari Shuttle,534
30000163,Terri Kane,Velator,688
30000157,Erymrog,Ferox,25930
30000156,Drowden Blacklyche,Capsule,438
30000142,Marcus Yeon,Malediction,3120
30000142,Vrachov Khurelem,Capsule,424
30000162,HC Two,Capsule,384
30000142,NastaKilla,Executioner,1159
30000156,Drowden Blacklyche,Vexor,8659
30000162,HC Two,Ibis,257
30000156,Big-Daddy-Lee Sertan,Punisher,1889
30000156,Pteradactyle,Condor,2089
30000156,Clone 163526,Slasher,1174
30000156,Martha Gomerz,Merlin,6356
30000156,Tiger Shadowstorm,Punisher,3647
30000156,dark102042 Arzi,Coercer,5942
30000156,JunkRaider,Executioner,2665
30000142,ShiroShe,Tristan,2395
30000163,Mysterika Illusione,Kestrel,1691
30000163,FireElf,Talos,15614
30000163,Trakannon,Malediction,1723
30000157,Dark Adoudel,Dragoon,1742
30000157,Baila Morenaa,Rifter,1842
30000157,Duncan Kurvora,Tristan,1970
30000163,Nalfe,Eagle,16400
30000163,Arrowman,Brutix,22820
30000156,Joe Grayne,Cormorant,6329
30000156,shadowboy9,Thrasher,7980
30000156,Liimis,Wolf,2603
30000156,Yankunytjatjara,Algos,4490
30000142,Joobu,Caracal,5171
30000156,Grave00,Kestrel,2615
30000156,Joe Grayne,Cormorant,10386
30000156,Zeb Bo,Rifter,1493
30000126,Christian vanLeeuwen,Catalyst,3859
30000126,Christian vanLeeuwen,Capsule,421
30000142,Marshall Arkaral,Bestower,1743
30000138,Svarterwyrd Dallocort,Omen,4407
30000145,Richard Link,Capsule,421
30000145,Richard Link,Drake,12452
30000156,dark102042 Arzi,Coercer,3069
30000142,Hamster Too,Capsule,461
30000163,Riddla,Prophecy,18364
30000163,Tymaul,Harpy,5494
30000163,morley911,Prophecy,17428
30000156,Croowdrio,Vengeance,4036
30000163,Lord Brainscan,Retribution,2999
30000163,Lord Brainscan,Capsule,467
30000156,DanBoucher,Vigil,1989
30000142,Vrachov Khurelem,Capsule,417
30000156,Liimis,Ishkur,2806
30000199,Fatal Ruby,Wreathe,4018
30000156,Grave00,Kestrel,2550
30000142,Scarity Akromeara,Hoarder,7719
30000156,Dark Adoudel,Rifter,3479
30000144,PhycoTrick,Capsule,462
30000144,PhycoTrick,Legion,26728
30000142,Bioclon,Hawk,4467
30000142,Bioclon,Capsule,446
30000164,Parap0nera,Augoror Navy Issue,19835
30000142,Repetor,Capsule,414
30000156,evilphoenix,Kestrel,3909
30000142,Repetor,Tormentor,1641
30000142,Acid Katelo,Heron,970
30000156,Giao Stasarik,Thrasher,4209
30000156,Zeb Bo,Rifter,1458
30000163,Nalfe,Oracle,16509
30000157,Croowdrio,Cormorant,2912
30000157,Dougfunny Aurilen,Corax,3053
30000131,Tobi Fry,Merlin,1471
30000131,Tobi Fry,Capsule,410
30000145,grim996,Capsule,461
30000156,Hooligan Anstian,Talwar,4176
30000157,Joe Grayne,Slasher,2301
30000142,Acid Katelo,Heron,974
30000145,Psychedemic,Capsule,462
30000145,Psychedemic,Hurricane,20409
30000156,Grave00,Kestrel,2579
30000156,Yankunytjatjara,Coercer,2996
30000157,Shirahama Takanobu,Incursus,2209
30000153,ZveRaBoy B0mpa,Nereus,5163
30000157,Joe Grayne,Cormorant,2837
30000142,Jifa Zateki,Capsule,424
30000156,Giao Stasarik,Atron,1312
30000156,lolkol Hekki,Merlin,4725
