KillID,AName,AShip,AWeapom,ASecurity,ADamage
36836889,Manu Propria,Daredevil,Light Neutron Blaster II,2.539451,10338
36836889,1984 Eto,Merlin,Merlin,5,2921
36836889,Vaden Astorian,Falcon,Enfeebling Phase Inversion ECM I,4.9,0
36836163,Sym Rupture,Imperial Navy Slicer,Small Focused Pulse Laser II,4.32683,938
36836163,DreamScythe,Sleipnir,Sleipnir,1.5,2495
36836163,Kadenia Kajal,Sleipnir,Warrior II,2.9,1078
36836163,Kynric,Scimitar,Warrior II,-0.2,440
36836163,Punisher004,Proteus,Heavy Neutron Blaster II,4.7,0
36836163,Kyra Kurai,Cerberus,Warp Disruptor II,0.1,0
36836163,Bane Nucleus,Ishtar,Bouncer II,-0.7,0
36836155,Bane Nucleus,Ishtar,Garde II,-0.7351868,3288
36836155,,Scourge Heavy Missile,#System,0,29368
36836155,DreamScythe,Sleipnir,Sleipnir,1.5,4107
36836155,Kadenia Kajal,Sleipnir,Warrior II,2.9,3863
36836155,Sym Rupture,Imperial Navy Slicer,Imperial Navy Slicer,4.3,2219
36836155,Kyra Kurai,Cerberus,Caldari Navy Scourge Heavy Assault Missile,0.1,2132
36836155,Punisher004,Proteus,Proteus,4.7,1432
36836155,Kynric,Scimitar,Warrior II,-0.2,607
36836155,KingCepheus,Scimitar,Warrior II,5,339
36836130,Bane Nucleus,Ishtar,Garde II,-0.7351868,16737
36836130,,Scourge Heavy Missile,#System,0,25266
36836130,DreamScythe,Sleipnir,Sleipnir,1.5,5795
36836130,Kynric,Scimitar,Warrior II,-0.2,1142
36836130,Sym Rupture,Imperial Navy Slicer,Warp Disruptor II,4.3,0
36835549,1984 Eto,Merlin,Modal Light Ion Particle Accelerator I,5.004405,804
36835549,Manu Propria,Daredevil,Daredevil,2.5,500
36835549,Von Tibbo,Sabre,Sabre,4.4,383
36835559,1984 Eto,Merlin,Modal Light Ion Particle Accelerator I,5.004405,432
36835559,Von Tibbo,Sabre,Fleeting Propulsion Inhibitor I,4.4,0
36835559,Manu Propria,Daredevil,Dark Blood Warp Scrambler,2.5,0
36835266,Von Tibbo,Sabre,200mm AutoCannon II,4.378293,394
36835266,Manu Propria,Daredevil,Dark Blood Warp Scrambler,2.5,0
36835266,1984 Eto,Merlin,J5b Phased Prototype Warp Scrambler I,5,0
36835239,Von Tibbo,Sabre,200mm AutoCannon II,4.378293,584
36835239,Ereshgikal,Stabber Fleet Issue,Warrior II,-2.9,271
36835239,1984 Eto,Merlin,Merlin,5,76
36835239,Manu Propria,Daredevil,Dark Blood Warp Scrambler,2.5,0
36835239,X4ver,Falcon,200mm AutoCannon II,0.6,0
36834958,Xerxes Straussberg,Mackinaw,Vespa II,0.3949607,841
36834958,Matthew Lawerence,Mackinaw,Vespa II,0.9,1714
36834958,Matthew Deutschland,Mackinaw,Vespa II,0.7,1288
36834943,Mellori Corvid,Omen,Heavy Pulse Laser II,5.001513,384
36834836,Mellori Corvid,Omen,Heavy Pulse Laser II,5.001513,0
36834836,,Scourge Heavy Missile,#System,0,530
36833625,Von Tibbo,Sabre,200mm AutoCannon II,4.378293,496
36833625,Manu Propria,Daredevil,Light Neutron Blaster II,2.5,0
36833622,Ereshgikal,Stabber Fleet Issue,Dual 180mm AutoCannon II,-2.884611,3647
36833622,Manu Propria,Daredevil,Daredevil,2.5,3406
36833622,Von Tibbo,Sabre,Sabre,4.4,1120
36833622,Nikola Rolando,Sabre,Sabre,0,844
36833622,Maniacus,Flycatcher,Scourge Rage Rocket,4,432
36833622,1984 Eto,Merlin,Merlin,5,36
36833622,Vaden Astorian,Falcon,Enfeebling Phase Inversion ECM I,4.9,0
36833598,Nikola Rolando,Sabre,125mm Light 'Scout' Autocannon I,0.00225,491
36833598,Ereshgikal,Stabber Fleet Issue,Warrior II,-2.9,1693
36833598,Manu Propria,Daredevil,Daredevil,2.5,932
36833598,Vaden Astorian,Falcon,Enfeebling Phase Inversion ECM I,4.9,0
36833344,Von Tibbo,Sabre,200mm AutoCannon II,4.378293,198
36833344,1984 Eto,Merlin,Merlin,5,218
36833344,Ereshgikal,Stabber Fleet Issue,J5b Phased Prototype Warp Scrambler I,-2.9,0
36833344,Maniacus,Flycatcher,Faint Epsilon Warp Scrambler I,4,0
36833344,Vaden Astorian,Falcon,Enfeebling Phase Inversion ECM I,4.9,0
36833334,Von Tibbo,Sabre,200mm AutoCannon II,4.378293,828
36833334,Ereshgikal,Stabber Fleet Issue,'Langour' Drive Disruptor I,-2.9,232
36833334,1984 Eto,Merlin,Merlin,5,162
36833334,Maniacus,Flycatcher,Stasis Webifier II,4,0
36832002,Narkomaan,Dominix,Hornet I,1.5041,458
36831714,Yun Kuai,Ishtar,Garde II,-0.4078046,3151
36831464,Manu Propria,Daredevil,Light Neutron Blaster II,2.539451,1272
36831464,Nikola Rolando,Sabre,Sabre,0,307
36831464,1984 Eto,Merlin,Merlin,5,94
36831464,Maniacus,Flycatcher,Warp Disrupt Probe,4,0
36831469,Manu Propria,Daredevil,Light Neutron Blaster II,2.539451,438
36831469,1984 Eto,Merlin,J5b Phased Prototype Warp Scrambler I,5,0
36831469,Maniacus,Flycatcher,Faint Epsilon Warp Scrambler I,4,0
36831433,1984 Eto,Merlin,Modal Light Ion Particle Accelerator I,5.004405,461
36831433,Manu Propria,Daredevil,Dread Guristas Stasis Webifier,2.5,0
36831433,Davvy71,Cynabal,Warp Disruptor II,-1,0
36831405,Maniacus,Flycatcher,Scourge Rage Rocket,3.992613,3031
36831405,Davvy71,Cynabal,Hammerhead II,-1,7317
36831405,Manu Propria,Daredevil,Daredevil,2.5,7216
36831405,Ghost Hunter Killer,Caracal,Mjolnir Fury Light Missile,5,6445
36831405,1984 Eto,Merlin,Merlin,5,1793
36831405,NewOne,Arazu,250mm Railgun II,5,53
36831405,Nikola Rolando,Sabre,125mm Light 'Scout' Autocannon I,0,0
36831405,Vaden Astorian,Falcon,'Hypnos' Ion Field ECM I,4.9,0
36830901,Manu Propria,Daredevil,Light Neutron Blaster II,2.539451,418
36830854,Ghost Hunter Killer,Caracal,Mjolnir Fury Light Missile,5.002992,956
36830854,Manu Propria,Daredevil,Light Neutron Blaster II,2.5,0
36830854,Nikola Rolando,Sabre,125mm Light 'Scout' Autocannon I,0,0
36830843,Maniacus,Flycatcher,Scourge Rage Rocket,3.992613,562
36830843,Manu Propria,Daredevil,Daredevil,2.5,273
36830843,Ghost Hunter Killer,Caracal,Rapid Light Missile Launcher II,5,0
36830865,Maniacus,Flycatcher,Scourge Rage Rocket,3.992613,410
36830865,Ghost Hunter Killer,Caracal,Rapid Light Missile Launcher II,5,0
36830865,Manu Propria,Daredevil,Dark Blood Warp Scrambler,2.5,0
36830743,Ereshgikal,Flycatcher,Mjolnir Rage Rocket,-2.884611,410
36830710,Ereshgikal,Flycatcher,Mjolnir Rage Rocket,-2.884611,809
36830310,Maniacus,Flycatcher,Scourge Rage Rocket,3.992613,1058
36830310,Manu Propria,Daredevil,Daredevil,2.5,2198
36830310,Nikola Rolando,Sabre,125mm Light 'Scout' Autocannon I,0,0
36830049,Consumata,#System,Caldari Navy Mjolnir Heavy Assault Missile,0.9943175,11418
36827593,Maniacus,Flycatcher,Scourge Rage Rocket,3.992613,31
36827593,Manu Propria,Daredevil,Daredevil,2.5,386
36827593,Xiron Corvon,Republic Fleet Firetail,J5b Phased Prototype Warp Scrambler I,4.2,0
36827575,Manu Propria,Daredevil,Light Neutron Blaster II,2.539451,685
36827575,Maniacus,Flycatcher,Scourge Rage Rocket,4,219
36827575,Xiron Corvon,Republic Fleet Firetail,Republic Fleet Firetail,4.2,25
36827575,Nikola Rolando,Sabre,125mm Light 'Scout' Autocannon I,0,0
36827181,Manu Propria,Daredevil,Light Neutron Blaster II,2.539451,425
36827181,Xiron Corvon,Republic Fleet Firetail,125mm Gatling AutoCannon II,4.2,0
36827181,Maniacus,Flycatcher,Rocket Launcher II,4,0
36827150,Manu Propria,Daredevil,Light Neutron Blaster II,2.539451,536
36827150,Maniacus,Flycatcher,Rocket Launcher II,4,0
36826760,Ghost Hunter Killer,Caracal,Mjolnir Fury Light Missile,5.002992,31
36826760,Xiron Corvon,Merlin,Merlin,4.2,426
36826730,Xiron Corvon,Merlin,Light Ion Blaster II,4.227303,974
36826443,Consumata,Sacrilege,Caldari Navy Mjolnir Heavy Assault Missile,0.9943175,7975
36826443,,Guristas Executor,#System,0,0
36825692,Ghost Hunter Killer,Caracal,Mjolnir Fury Light Missile,5.002992,113
36825692,ANSCKARY,Taranis,Taranis,5,314
36825692,xtra squishy lol,Cyclone,Prototype 'Arbalest' Heavy Assault Missile Launcher I,-2.4,0
36825685,ANSCKARY,Taranis,Light Ion Blaster II,5.004708,585
36825685,xtra squishy lol,Cyclone,Prototype 'Arbalest' Heavy Assault Missile Launcher I,-2.4,0
36825685,,Dire Guristas Invader,#System,0,0
36824410,Ko4egar Ormand,Tengu,Scourge Rage Heavy Assault Missile,4.380136,442
36824355,Walextheone,Cynabal,425mm AutoCannon II,1.550872,27983
36824355,,Dire Pithi Destructor,#System,0,9530
36824199,Kul Taranis,Legion,Heavy Beam Laser II,2.026552,951
